MA_KENH_BAN,MA_SAN_PHAM,GIA,VAT,AP_DUNG_TU,NGUON
DC0001,21RUOUPLOC,660000.0,,2022-01-22 00:00:00,V1
DC0001,22DUONG500,13500.0,,2022-08-09 00:00:00,V1
DC0001,22DUONG500,12500.0,,2022-08-18 00:00:00,V1
DC0001,22DUONG500,14500.0,,2023-03-15 00:00:00,V1
DC0001,22NOORI375,36000.0,,2022-01-26 00:00:00,V1
DC0001,22NYS5L190,61000.0,,2022-01-25 00:00:00,V1
DC0001,22NYS5L190,63500.0,,2022-11-01 00:00:00,V1
DC0001,22NYS6L190,58000.0,,2022-11-01 00:00:00,V1
DC0001,22NYS6LO70,225000.0,,2022-01-25 00:00:00,V1
DC0001,22NYS6LO70,227000.0,,2022-11-01 00:00:00,V1
DC0001,22SCLNG250-A201,45000.0,,2022-01-22 00:00:00,V1
DC0001,22SCLNG250-A202,45000.0,,2022-01-22 00:00:00,V1
DC0001,22SCLNG250-A303,66000.0,,2022-01-22 00:00:00,V1
DC0001,22SUBONE10,284000.0,,2022-01-25 00:00:00,V1
DC0001,0515B,28000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0515B,30000.0,10.0,2022-07-01 00:00:00,V2
DC0001,0516B,126000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0516B,133000.0,10.0,2022-07-01 00:00:00,V2
DC0001,0601B,27000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0602B,27000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0701A,89000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0702B,30000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0703B,30000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0704B,12000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0705B,60000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0706B,60000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0707B,55000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0707B,60000.0,10.0,2022-07-01 00:00:00,V2
DC0001,0708B,55000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0709B,38000.0,10.0,2015-08-03 00:00:00,V2
DC0001,0710B,38000.0,10.0,2015-08-03 00:00:00,V2
DC0001,22SUBONE12,625000.0,,2022-01-25 00:00:00,V1
DC0001,22SUMICH12,248000.0,,2022-01-25 00:00:00,V1
DC0001,22THIEC400,135000.0,,2022-01-22 00:00:00,V1
DC0001,0801B,29000.0,10.0,2015-08-03 00:00:00,V2
