MA_KENH_BAN,MA_SAN_PHAM,GIA,VAT,AP_DUNG_TU,NGUON
DC0001,21PHUCLO75,10500.0,10.0,2020-12-16 00:00:00,V2
DC0001,21PIERG168,22000.0,10.0,2020-12-16 00:00:00,V2
DC0001,BTCHLC0004,4500.0,,2024-03-14 00:00:00,V1
DC0001,21REDLABEL,385000.0,10.0,2020-12-16 00:00:00,V2
DC0001,BTCHLC0006,8000.0,,2024-03-14 00:00:00,V1
DC0001,21RUOUPLOC,700000.0,10.0,2020-12-16 00:00:00,V2
DC0001,BTCHLC0007,8000.0,,2024-03-14 00:00:00,V1
DC0001,21RUOUPLOC,660000.0,10.0,2021-10-01 00:00:00,V2
DC0001,BTCHLC0008,9000.0,,2024-03-14 00:00:00,V1
DC0001,21SATUR330,42000.0,10.0,2020-12-16 00:00:00,V2
DC0001,BTDAKY0004,50000.0,,2024-03-14 00:00:00,V1
DC0001,21SATUR440,57000.0,10.0,2020-12-16 00:00:00,V2
DC0001,BTDAKY0005,93500.0,,2024-03-14 00:00:00,V1
DC0001,21SAUVIGNO,159000.0,10.0,2020-12-16 00:00:00,V2
DC0001,BTDGCL0101,0.0,,2024-03-14 00:00:00,V1
DC0001,21SCLNG250,59000.0,10.0,2020-12-16 00:00:00,V2
DC0001,BTDKCB0001,29000.0,,2024-01-18 00:00:00,V1
DC0001,21TAKBAR40,40000.0,10.0,2020-12-16 00:00:00,V2
DC0001,BTGA9R0001,190476.0,,2024-03-14 00:00:00,V1
DC0001,21TESSFD36,48000.0,10.0,2020-12-16 00:00:00,V2
DC0001,BTGA9R0001,147619.0,,2024-03-18 00:00:00,V1
DC0001,21TESSP375,48000.0,10.0,2020-12-16 00:00:00,V2
DC0001,BTNCYV0001,90000.0,,2024-03-14 00:00:00,V1
DC0001,21THIEC400,125000.0,10.0,2020-12-16 00:00:00,V2
DC0001,BTNGCM3301,90000.0,,2024-03-14 00:00:00,V1
DC0001,21TUIDUNB1,42000.0,10.0,2021-01-21 00:00:00,V2
DC0001,BTNMTD2201,29500.0,,2024-03-14 00:00:00,V1
DC0001,BTNMTD2501,16500.0,,2024-03-14 00:00:00,V1
DC0001,BTPHLC0001,8800.0,,2024-01-15 00:00:00,V1
DC0001,BTPHLC0002,8800.0,,2024-01-15 00:00:00,V1
DC0001,BTQT240017,599000.0,,2024-02-20 00:00:00,V1
DC0001,BTYEYV0002,66000.0,,2024-03-14 00:00:00,V1
DC0001,BTYEYV0005,66000.0,,2024-03-14 00:00:00,V1
DC0001,CAHOP1001,85000.0,,2022-01-22 00:00:00,V1
DC0001,CAHOP1002,41000.0,,2022-01-22 00:00:00,V1
DC0001,CAHOP1003,68000.0,,2022-01-22 00:00:00,V1
DC0001,CAHOP1004,68000.0,,2022-01-22 00:00:00,V1
DC0001,CBIC0201,185000.0,,2022-01-22 00:00:00,V1
DC0001,CCU030401,148500.0,,2022-01-25 00:00:00,V1
DC0001,CCU030402,126500.0,,2022-01-25 00:00:00,V1
DC0001,CCU030403,126500.0,,2022-01-25 00:00:00,V1
DC0001,CMPE109,3399000.0,,2022-01-22 00:00:00,V1
DC0001,CMPE209,2399000.0,,2022-01-22 00:00:00,V1
DC0001,CMPN002,295000.0,,2022-01-22 00:00:00,V1
DC0001,CST020401,95000.0,,2022-01-22 00:00:00,V1
DC0001,DABL032001,135000.0,,2023-01-04 00:00:00,V1
DC0001,DAUAN1001,67500.0,,2022-05-31 00:00:00,V1
DC0001,21TUIDUNGB,12000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21TUIDUNGK,0.0,10.0,2020-12-17 00:00:00,V2
DC0001,21TUIGIAVB,10000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21TUIGIAVK,0.0,10.0,2020-12-17 00:00:00,V2
DC0001,21TUILIXI3,0.0,10.0,2020-12-17 00:00:00,V2
DC0001,21WAKEU306,40000.0,10.0,2020-12-16 00:00:00,V2
DC0001,22BANHE500,205000.0,10.0,2021-11-12 00:00:00,V2
DC0001,22BANHL450,287000.0,10.0,2021-11-12 00:00:00,V2
DC0001,22BELGI278,49000.0,10.0,2021-11-12 00:00:00,V2
DC0001,22BELGI278,48200.0,10.0,2022-02-01 00:00:00,V2
DC0001,22CADAHILL,97000.0,10.0,2021-11-12 00:00:00,V2
DC0001,22CHEWY125,27000.0,10.0,2021-11-12 00:00:00,V2
DC0001,22CHEWY125,26600.0,10.0,2022-02-01 00:00:00,V2
DC0001,22CLEMENTE,270000.0,10.0,2021-11-12 00:00:00,V2
DC0001,22DOLLY300,83000.0,10.0,2021-11-12 00:00:00,V2
DC0001,22DOLLY300,81500.0,10.0,2022-02-01 00:00:00,V2
DC0001,22DUONG500,0.0,10.0,2021-11-15 00:00:00,V2
DC0001,22HANEM400,0.0,10.0,2021-11-15 00:00:00,V2
DC0001,22HOPDUNGB,56000.0,10.0,2021-11-12 00:00:00,V2
DC0001,DAUAN1003,169500.0,,2021-12-30 00:00:00,V1
DC0001,DAUAN1011,67500.0,,2022-05-31 00:00:00,V1
DC0001,DAUAN1012,49000.0,,2019-11-14 00:00:00,V1
DC0001,DAUAN1012,59500.0,,2021-12-27 00:00:00,V1
DC0001,DAUAN1012,63000.0,,2024-03-16 00:00:00,V1
DC0001,DAUAN1014,107000.0,,2021-12-30 00:00:00,V1
DC0001,DAUAN1014,113400.0,,2024-03-16 00:00:00,V1
DC0001,DAUAN1015,297500.0,,2021-12-30 00:00:00,V1
DC0001,DAUAN1028,62500.0,,2022-01-22 00:00:00,V1
DC0001,DAUAN1029,43000.0,,2019-11-14 00:00:00,V1
DC0001,DAUAN1033,56500.0,,2021-12-30 00:00:00,V1
DC0001,DAUAN1034,52000.0,,2021-12-30 00:00:00,V1
DC0001,DAUAN1036,282500.0,,2021-12-30 00:00:00,V1
DC0001,DAUAN1037,50000.0,,2022-04-05 00:00:00,V1
DC0001,DAUAN1037,75000.0,,2022-11-30 00:00:00,V1
DC0001,DAUR025001,66000.0,,2022-11-09 00:00:00,V1
DC0001,22HOPDUNGK,0.0,10.0,2021-11-15 00:00:00,V2
DC0001,DAUR038001,364000.0,,2022-11-09 00:00:00,V1
DC0001,22KEOMA200,34000.0,10.0,2021-11-12 00:00:00,V2
DC0001,DCH030701,31000.0,,2022-01-22 00:00:00,V1
DC0001,22KEOMA200,33400.0,10.0,2022-02-01 00:00:00,V2
DC0001,22KEOMI300,109000.0,10.0,2021-11-12 00:00:00,V2
DC0001,DCH030702,61000.0,,2022-01-22 00:00:00,V1
DC0001,22KGIFT250,41000.0,10.0,2021-11-12 00:00:00,V2
DC0001,22KGIFT250,40300.0,10.0,2022-02-01 00:00:00,V2
DC0001,22LAPXU250,0.0,10.0,2021-11-15 00:00:00,V2
DC0001,DGCL020001,90000.0,,2024-03-14 00:00:00,V1
DC0001,22LIXI3CAI,0.0,10.0,2021-11-15 00:00:00,V2
DC0001,FR149,18000.0,,2020-02-29 00:00:00,V1
DC0001,22MACCA300,138000.0,10.0,2021-11-12 00:00:00,V2
DC0001,FR150,18000.0,,2020-04-07 00:00:00,V1
DC0001,22MUTBI280,49000.0,10.0,2021-11-12 00:00:00,V2
DC0001,FR220,49000.0,,2020-02-14 00:00:00,V1
DC0001,22MUTGU180,55000.0,10.0,2021-11-12 00:00:00,V2
DC0001,FR220,35000.0,,2020-02-15 00:00:00,V1
DC0001,22MUTLA200,35000.0,10.0,2021-11-12 00:00:00,V2
DC0001,FR250,49000.0,,2020-02-10 00:00:00,V1
DC0001,22MUTQX170,42000.0,10.0,2021-11-12 00:00:00,V2
DC0001,FR251,49000.0,,2020-02-10 00:00:00,V1
DC0001,22MUTTC200,47000.0,10.0,2021-11-12 00:00:00,V2
DC0001,FR267,49000.0,,2020-04-13 00:00:00,V1
DC0001,22MUTTC300,99000.0,10.0,2021-11-12 00:00:00,V2
DC0001,FR500,89000.0,,2020-02-10 00:00:00,V1
DC0001,22MUTTC350,135000.0,10.0,2021-11-12 00:00:00,V2
DC0001,FR501,89000.0,,2020-02-12 00:00:00,V1
DC0001,22NHOKH200,48000.0,10.0,2021-11-12 00:00:00,V2
DC0001,FR509,89000.0,,2020-04-13 00:00:00,V1
DC0001,22NHOKH200,47200.0,10.0,2022-02-01 00:00:00,V2
DC0001,G001B2,189000.0,,2022-01-25 00:00:00,V1
DC0001,22NOORI375,36000.0,10.0,2021-11-12 00:00:00,V2
DC0001,G001B3,289000.0,,2022-01-25 00:00:00,V1
DC0001,22NTTTT500,0.0,10.0,2021-11-15 00:00:00,V2
DC0001,G001G2,189000.0,,2022-01-25 00:00:00,V1
DC0001,22NYS5L190,61000.0,10.0,2021-11-12 00:00:00,V2
DC0001,G001G3,289000.0,,2022-01-25 00:00:00,V1
DC0001,22NYS5L190,59900.0,10.0,2022-02-01 00:00:00,V2
DC0001,G001X2,189000.0,,2022-01-25 00:00:00,V1
DC0001,22NYS5L190,66000.0,10.0,2022-12-05 00:00:00,V2
DC0001,G001X3,289000.0,,2022-01-25 00:00:00,V1
DC0001,22NYS5L190,64800.0,10.0,2023-07-01 00:00:00,V2
DC0001,G002T,275000.0,,2022-01-25 00:00:00,V1
DC0001,22NYS5L190,64800.0,8.0,2023-08-01 00:00:00,V2
DC0001,G005D,330000.0,,2022-01-25 00:00:00,V1
DC0001,22NYS6L190,55000.0,10.0,2021-11-12 00:00:00,V2
DC0001,G005DCB,330000.0,,2022-01-25 00:00:00,V1
DC0001,22NYS6L190,54000.0,10.0,2022-02-01 00:00:00,V2
DC0001,G005N,330000.0,,2022-01-25 00:00:00,V1
DC0001,22NYS6L190,61000.0,10.0,2022-12-05 00:00:00,V2
DC0001,G006G1,120000.0,,2022-01-25 00:00:00,V1
DC0001,22NYS6L190,59900.0,10.0,2023-07-01 00:00:00,V2
DC0001,G006G2,155000.0,,2022-01-25 00:00:00,V1
DC0001,22NYS6L190,59900.0,8.0,2023-08-01 00:00:00,V2
DC0001,GDT001G,45000.0,,2022-01-25 00:00:00,V1
DC0001,22NYS6LO70,225000.0,10.0,2021-11-12 00:00:00,V2
DC0001,GDT001N,45000.0,,2022-01-25 00:00:00,V1
DC0001,22NYS6LO70,221000.0,10.0,2022-02-01 00:00:00,V2
DC0001,GIAY1003,66000.0,,2021-04-06 00:00:00,V1
DC0001,22NYS6LO70,235500.0,10.0,2022-12-05 00:00:00,V2
DC0001,GN001T,75000.0,,2022-01-25 00:00:00,V1
DC0001,22NYS6LO70,231300.0,10.0,2023-07-01 00:00:00,V2
DC0001,GS001T1,420000.0,,2022-01-25 00:00:00,V1
DC0001,GS002T,399000.0,,2022-01-25 00:00:00,V1
DC0001,GS003D,399000.0,,2022-01-25 00:00:00,V1
DC0001,22NYS6LO70,231300.0,8.0,2023-08-01 00:00:00,V2
DC0001,GS003T,399000.0,,2022-01-25 00:00:00,V1
DC0001,22PEPFA376,310000.0,10.0,2022-01-06 00:00:00,V2
DC0001,GS005T,250000.0,,2022-01-25 00:00:00,V1
DC0001,22RUSING12,1138000.0,10.0,2022-01-06 00:00:00,V2
DC0001,HCC021501,139000.0,,2022-01-22 00:00:00,V1
DC0001,22RUSING15,2000000.0,10.0,2022-01-06 00:00:00,V2
DC0001,HCV030501,3500.0,,2022-01-22 00:00:00,V1
DC0001,22RUSING18,3250000.0,10.0,2022-01-04 00:00:00,V2
DC0001,HDT001H,69000.0,,2022-01-25 00:00:00,V1
DC0001,22SANTASVG,159000.0,10.0,2021-11-12 00:00:00,V2
DC0001,HDT001XB,69000.0,,2022-01-25 00:00:00,V1
DC0001,22SCLNG250,45000.0,10.0,2021-11-12 00:00:00,V2
DC0001,HMP001T,255000.0,,2022-01-25 00:00:00,V1
DC0001,22SCLNG250,44200.0,10.0,2022-02-01 00:00:00,V2
DC0001,HN001G1,45000.0,,2022-01-25 00:00:00,V1
DC0001,22SCLNG250-A201,45000.0,10.0,2021-12-02 00:00:00,V2
DC0001,HN001G2,65000.0,,2022-01-25 00:00:00,V1
DC0001,22SCLNG250-A201,44200.0,10.0,2022-02-01 00:00:00,V2
DC0001,HN001T1,45000.0,,2022-01-25 00:00:00,V1
DC0001,22SCLNG250-A202,45000.0,10.0,2021-12-02 00:00:00,V2
DC0001,HN001T2,65000.0,,2022-01-25 00:00:00,V1
DC0001,22SCLNG250-A202,44200.0,10.0,2022-02-01 00:00:00,V2
DC0001,HN002T2,79000.0,,2022-01-25 00:00:00,V1
DC0001,22SCLNG250-A213,58000.0,10.0,2021-12-02 00:00:00,V2
DC0001,HN003T1,150000.0,,2022-01-25 00:00:00,V1
DC0001,22SCLNG250-A213,57000.0,10.0,2022-02-01 00:00:00,V2
DC0001,HN004H,350000.0,,2022-01-25 00:00:00,V1
DC0001,22SCLNG250-A303,66000.0,10.0,2021-12-02 00:00:00,V2
DC0001,HN005T,380000.0,,2022-01-25 00:00:00,V1
DC0001,22SCLNG250-A303,64800.0,10.0,2022-02-01 00:00:00,V2
DC0001,HN006G1,365000.0,,2022-01-25 00:00:00,V1
DC0001,22SUBONE10,284000.0,10.0,2021-11-12 00:00:00,V2
DC0001,HN006G2,465000.0,,2022-01-25 00:00:00,V1
DC0001,22SUBONE12,625000.0,10.0,2021-11-12 00:00:00,V2
DC0001,HN006T1,365000.0,,2022-01-25 00:00:00,V1
DC0001,22SUMICH12,248000.0,10.0,2021-11-12 00:00:00,V2
DC0001,HN006T2,465000.0,,2022-01-25 00:00:00,V1
DC0001,22SUMICH12,243500.0,10.0,2022-02-01 00:00:00,V2
DC0001,HN007B1,85000.0,,2022-01-25 00:00:00,V1
DC0001,22SUMICH12,248000.0,10.0,2022-11-28 00:00:00,V2
DC0001,22TAKBAR40,44000.0,10.0,2021-11-12 00:00:00,V2
DC0001,22TAKBAR80,112000.0,10.0,2021-11-12 00:00:00,V2
DC0001,22TAKBAR80,110000.0,10.0,2022-02-01 00:00:00,V2
DC0001,22TESSP375,54000.0,10.0,2021-11-12 00:00:00,V2
DC0001,22TESSP375,53100.0,10.0,2022-02-01 00:00:00,V2
DC0001,22THIEC400,135000.0,10.0,2021-11-12 00:00:00,V2
DC0001,22THIEC400,132600.0,10.0,2022-02-01 00:00:00,V2
DC0001,22TRAXAN45,31000.0,10.0,2021-11-12 00:00:00,V2
DC0001,22TRAXAN45,30500.0,10.0,2022-02-01 00:00:00,V2
DC0001,22TUIDUNCO,7000.0,10.0,2022-01-10 00:00:00,V2
DC0001,22TUIDUNGB,12000.0,10.0,2021-11-12 00:00:00,V2
DC0001,22TUIDUNGB,11800.0,10.0,2022-02-01 00:00:00,V2
DC0001,22TUIDUNGB,12000.0,10.0,2023-01-01 00:00:00,V2
DC0001,22TUIDUNGB,11800.0,10.0,2023-07-01 00:00:00,V2
DC0001,22TUIDUNGK,0.0,10.0,2021-11-15 00:00:00,V2
DC0001,22TUIGIAY,0.0,10.0,2022-01-12 00:00:00,V2
DC0001,22TUIGIAY,7000.0,10.0,2022-01-13 00:00:00,V2
DC0001,22TUIINIBS,24000.0,10.0,2022-01-04 00:00:00,V2
DC0001,22TUINILON,0.0,10.0,2021-11-15 00:00:00,V2
DC0001,22VIENTSVG,308000.0,10.0,2021-11-12 00:00:00,V2
DC0001,22WAKEU306,48000.0,10.0,2021-11-12 00:00:00,V2
DC0001,22WAKEU306,47200.0,10.0,2022-02-01 00:00:00,V2
DC0001,2300012,21000.0,10.0,2020-06-01 00:00:00,V2
DC0001,2300012,23000.0,10.0,2021-07-16 00:00:00,V2
DC0001,2300014,27000.0,10.0,2020-06-01 00:00:00,V2
DC0001,2300014,29000.0,10.0,2021-07-16 00:00:00,V2
DC0001,HN007B2,129000.0,,2022-01-25 00:00:00,V1
DC0001,HN007G2,129000.0,,2022-01-25 00:00:00,V1
DC0001,HN007T1,85000.0,,2022-01-25 00:00:00,V1
DC0001,HN007T2,129000.0,,2022-01-25 00:00:00,V1
DC0001,HN008T1,259000.0,,2022-01-25 00:00:00,V1
DC0001,HN008T2,359000.0,,2022-01-25 00:00:00,V1
DC0001,HN009T1,149000.0,,2022-01-25 00:00:00,V1
DC0001,HN009T2,189000.0,,2022-01-25 00:00:00,V1
DC0001,HN009T3,159000.0,,2022-01-25 00:00:00,V1
DC0001,HNDS015001,28500.0,,2024-03-14 00:00:00,V1
DC0001,HNDS025001,57000.0,,2024-03-14 00:00:00,V1
DC0001,HT001T1,280000.0,,2022-01-25 00:00:00,V1
DC0001,HT001T2,320000.0,,2022-01-25 00:00:00,V1
DC0001,HV002B1,185000.0,,2022-01-25 00:00:00,V1
DC0001,HV002B4,180000.0,,2022-01-25 00:00:00,V1
DC0001,HV003B1,110000.0,,2022-01-25 00:00:00,V1
DC0001,HV004B1,115000.0,,2022-01-25 00:00:00,V1
DC0001,HV005B1,230000.0,,2022-01-25 00:00:00,V1
DC0001,HV006B1,285000.0,,2022-01-25 00:00:00,V1
DC0001,HV006B2,235000.0,,2022-01-25 00:00:00,V1
DC0001,HWH93,133000.0,,2022-01-25 00:00:00,V1
DC0001,ICC020401,149000.0,,2022-01-22 00:00:00,V1
DC0001,ICK021602,32500.0,,2024-03-14 00:00:00,V1
DC0001,ILS010401,59000.0,,2024-03-14 00:00:00,V1
DC0001,IRC010101,91000.0,,2024-03-14 00:00:00,V1
DC0001,IXV010301,89000.0,,2024-03-14 00:00:00,V1
DC0001,JB018987,59000.0,,2022-01-22 00:00:00,V1
DC0001,KBTT1501,19000.0,,2019-11-14 00:00:00,V1
DC0001,KD001T1,199000.0,,2022-01-25 00:00:00,V1
DC0001,KD001T2,230000.0,,2022-01-25 00:00:00,V1
DC0001,KD001T3,260000.0,,2022-01-25 00:00:00,V1
DC0001,KD001T4,235000.0,,2022-01-25 00:00:00,V1
DC0001,KD001T5,245000.0,,2022-01-25 00:00:00,V1
DC0001,KD001T6,285000.0,,2022-01-25 00:00:00,V1
DC0001,KDR10309,35000.0,,2024-03-14 00:00:00,V1
DC0001,2300020,25000.0,10.0,2020-06-01 00:00:00,V2
DC0001,KG001,690000.0,,2022-01-25 00:00:00,V1
DC0001,23BATR011,0.0,10.0,2023-01-04 00:00:00,V2
DC0001,23BDPF015,142000.0,10.0,2022-11-17 00:00:00,V2
DC0001,23BJVA010,66000.0,10.0,2022-12-23 00:00:00,V2
DC0001,23BJXA010,66000.0,10.0,2022-12-23 00:00:00,V2
DC0001,KGV001T,175000.0,,2022-01-25 00:00:00,V1
DC0001,KHN001T1,29000.0,,2022-01-25 00:00:00,V1
DC0001,KHN001T2,19000.0,,2022-01-25 00:00:00,V1
DC0001,KHN001T3,35000.0,,2022-01-25 00:00:00,V1
DC0001,KHN002T1,235000.0,,2022-01-25 00:00:00,V1
DC0001,KHN002T2,245000.0,,2022-01-25 00:00:00,V1
DC0001,KHN002T3,255000.0,,2022-01-25 00:00:00,V1
DC0001,KHN002T4,275000.0,,2022-01-25 00:00:00,V1
DC0001,KHN002T5,325000.0,,2022-01-25 00:00:00,V1
DC0001,KN001T,235000.0,,2022-01-25 00:00:00,V1
DC0001,KN002T1,260000.0,,2022-01-25 00:00:00,V1
DC0001,KN002T2,260000.0,,2022-01-25 00:00:00,V1
DC0001,KS003T,350000.0,,2022-01-25 00:00:00,V1
DC0001,KS004N,350000.0,,2022-01-25 00:00:00,V1
DC0001,KS005D,380000.0,,2022-01-25 00:00:00,V1
DC0001,KS006T,950000.0,,2022-01-25 00:00:00,V1
DC0001,KT001,50000.0,,2022-01-25 00:00:00,V1
DC0001,KT002,40000.0,,2022-01-25 00:00:00,V1
DC0001,KT003,50000.0,,2022-01-25 00:00:00,V1
DC0001,KT004,50000.0,,2022-01-25 00:00:00,V1
DC0001,KT005,30000.0,,2022-01-25 00:00:00,V1
DC0001,KTT040301,5500.0,,2022-01-22 00:00:00,V1
DC0001,LFS030901,57000.0,,2022-01-25 00:00:00,V1
DC0001,LFS030902,57000.0,,2022-01-25 00:00:00,V1
DC0001,LFS030903,57000.0,,2022-01-25 00:00:00,V1
DC0001,LFS030904,80000.0,,2022-01-25 00:00:00,V1
DC0001,LFS030905,33000.0,,2022-01-25 00:00:00,V1
DC0001,LFY030808,10000.0,,2022-01-25 00:00:00,V1
DC0001,23BKGB015,0.0,10.0,2022-11-18 00:00:00,V2
DC0001,23BKSC007,0.0,10.0,2022-11-18 00:00:00,V2
DC0001,23BMDS011,105500.0,10.0,2022-12-23 00:00:00,V2
DC0001,23BMED010,72500.0,10.0,2022-12-23 00:00:00,V2
DC0001,23BPCL013,56000.0,10.0,2022-11-17 00:00:00,V2
DC0001,23BPCL013,55000.0,8.0,2023-07-01 00:00:00,V2
DC0001,23BQAD010,0.0,10.0,2022-11-18 00:00:00,V2
DC0001,23BQAK013,57500.0,10.0,2022-11-17 00:00:00,V2
DC0001,23BQAR015,50000.0,10.0,2022-11-17 00:00:00,V2
DC0001,23BQAR015,49100.0,8.0,2023-07-01 00:00:00,V2
DC0001,23BQBC013,56000.0,10.0,2022-11-17 00:00:00,V2
DC0001,23BQBC013,55000.0,8.0,2023-07-01 00:00:00,V2
DC0001,23BQCB012,97000.0,10.0,2022-11-17 00:00:00,V2
DC0001,23BQCB016,178000.0,10.0,2022-11-17 00:00:00,V2
DC0001,23BQCT011,1.0,10.0,2022-12-31 00:00:00,V2
DC0001,23BQED010,0.0,10.0,2023-01-28 00:00:00,V2
DC0001,23BQFF015,71500.0,10.0,2022-11-17 00:00:00,V2
DC0001,23BQFM014,44000.0,10.0,2022-11-17 00:00:00,V2
DC0001,23BQHB010,0.0,10.0,2023-01-28 00:00:00,V2
DC0001,23BQKC014,59000.0,10.0,2022-11-17 00:00:00,V2
DC0001,23BQLD013,202000.0,10.0,2022-11-17 00:00:00,V2
DC0001,23BQLU011,97000.0,10.0,2022-12-30 00:00:00,V2
DC0001,23BQMC017,0.0,10.0,2022-12-24 00:00:00,V2
DC0001,23BQMR013,54500.0,10.0,2022-11-17 00:00:00,V2
DC0001,23BQNE011,27000.0,10.0,2022-11-17 00:00:00,V2
DC0001,23BQNY015,51500.0,10.0,2022-11-17 00:00:00,V2
DC0001,23BQPF015,361500.0,10.0,2022-11-17 00:00:00,V2
DC0001,23BQRT010,32000.0,10.0,2022-11-17 00:00:00,V2
DC0001,23BQSA009,0.0,10.0,2023-02-02 00:00:00,V2
DC0001,23BQTV015,57500.0,10.0,2022-11-17 00:00:00,V2
DC0001,23BQVG014,46000.0,10.0,2022-11-17 00:00:00,V2
DC0001,23BQVG014,45200.0,10.0,2023-07-01 00:00:00,V2
DC0001,23BQVN013,41500.0,10.0,2022-11-17 00:00:00,V2
DC0001,23BTGB015,85000.0,10.0,2022-11-17 00:00:00,V2
DC0001,23BTMR015,135500.0,10.0,2022-11-17 00:00:00,V2
DC0001,23BTTL011,32500.0,10.0,2022-11-17 00:00:00,V2
DC0001,23BTXQ018,114500.0,10.0,2022-11-17 00:00:00,V2
DC0001,23BXVN009,0.0,10.0,2022-12-05 00:00:00,V2
DC0001,23CB001,195500.0,10.0,2022-11-17 00:00:00,V2
DC0001,23CB001,192000.0,8.0,2023-07-01 00:00:00,V2
DC0001,23CB002,215000.0,10.0,2022-11-17 00:00:00,V2
DC0001,23CB002,211100.0,8.0,2023-07-01 00:00:00,V2
DC0001,23CB003,219000.0,10.0,2022-11-17 00:00:00,V2
DC0001,23CB004,219500.0,10.0,2022-11-17 00:00:00,V2
DC0001,23CB004,215600.0,10.0,2023-07-01 00:00:00,V2
DC0001,23CB005,239000.0,10.0,2022-11-17 00:00:00,V2
DC0001,23CB006,247000.0,10.0,2022-11-17 00:00:00,V2
DC0001,23CB007,260000.0,10.0,2022-11-17 00:00:00,V2
DC0001,23CB007,255300.0,10.0,2023-07-01 00:00:00,V2
DC0001,23CB008,265000.0,10.0,2022-11-17 00:00:00,V2
DC0001,23CB009,300000.0,10.0,2022-11-17 00:00:00,V2
DC0001,23CB009,294600.0,10.0,2023-07-01 00:00:00,V2
DC0001,23CB010,305000.0,10.0,2022-11-17 00:00:00,V2
DC0001,LFY030809,11000.0,,2022-01-25 00:00:00,V1
DC0001,LFY030810,11000.0,,2022-01-25 00:00:00,V1
DC0001,LK178117,5500.0,,2020-01-09 00:00:00,V1
DC0001,LK178117,5000.0,,2020-01-14 00:00:00,V1
DC0001,23CB011,378500.0,10.0,2022-11-17 00:00:00,V2
DC0001,LO101,18000.0,,2020-05-08 00:00:00,V1
DC0001,23CB012,433500.0,10.0,2022-11-17 00:00:00,V2
DC0001,LO149,18000.0,,2020-02-29 00:00:00,V1
DC0001,23CB012,425700.0,10.0,2023-07-01 00:00:00,V2
DC0001,LO220,35000.0,,2020-02-10 00:00:00,V1
DC0001,23CB013,445000.0,10.0,2022-11-17 00:00:00,V2
DC0001,LO250,49000.0,,2020-02-10 00:00:00,V1
DC0001,23CB014,490000.0,10.0,2022-11-17 00:00:00,V2
DC0001,LO251,49000.0,,2020-02-10 00:00:00,V1
DC0001,23CB015,495000.0,10.0,2022-11-17 00:00:00,V2
DC0001,LO500,89000.0,,2020-02-10 00:00:00,V1
DC0001,23CB016,499500.0,10.0,2022-11-17 00:00:00,V2
DC0001,LX220106,39000.0,,2021-04-06 00:00:00,V1
DC0001,23CB017,655500.0,10.0,2022-11-17 00:00:00,V2
DC0001,LX220106,42000.0,,2024-03-16 00:00:00,V1
DC0001,23CB018,728000.0,10.0,2022-11-17 00:00:00,V2
DC0001,LX220107,34000.0,,2021-04-06 00:00:00,V1
DC0001,23CB019,835000.0,10.0,2022-11-17 00:00:00,V2
DC0001,LX220110,24000.0,,2024-03-14 00:00:00,V1
DC0001,23CB020,251000.0,10.0,2022-11-17 00:00:00,V2
DC0001,LX220712,56000.0,,2021-04-06 00:00:00,V1
DC0001,23CB021,302500.0,10.0,2022-11-17 00:00:00,V2
DC0001,MALAY030101,25700.0,,2024-03-14 00:00:00,V1
DC0001,23CB022,631000.0,10.0,2022-11-17 00:00:00,V2
DC0001,MBC030501,9900.0,,2024-03-14 00:00:00,V1
DC0001,23CB022,619600.0,10.0,2023-07-01 00:00:00,V2
DC0001,MBC030502,15800.0,,2024-03-14 00:00:00,V1
DC0001,MS001T,65000.0,,2022-01-25 00:00:00,V1
DC0001,MT001T1,90000.0,,2022-01-25 00:00:00,V1
DC0001,MT001T2,160000.0,,2022-01-25 00:00:00,V1
DC0001,MT002T,245000.0,,2022-01-25 00:00:00,V1
DC0001,MT003T,280000.0,,2022-01-25 00:00:00,V1
DC0001,23CB023,92000.0,10.0,2022-11-17 00:00:00,V2
DC0001,23CB023,90400.0,8.0,2023-07-01 00:00:00,V2
DC0001,MT004T,65000.0,,2022-01-25 00:00:00,V1
DC0001,23CB024,191500.0,10.0,2022-11-17 00:00:00,V2
DC0001,MT006G,150000.0,,2022-01-25 00:00:00,V1
DC0001,23CB024,188100.0,8.0,2023-07-01 00:00:00,V2
DC0001,NGCM036002,145000.0,,2024-03-14 00:00:00,V1
DC0001,23CB025,46000.0,10.0,2022-12-13 00:00:00,V2
DC0001,NMBP115,32000.0,,2019-07-25 00:00:00,V1
DC0001,23CB026,75000.0,10.0,2022-12-13 00:00:00,V2
DC0001,NMBP115,36000.0,,2020-10-12 00:00:00,V1
DC0001,23CB027,133000.0,10.0,2022-12-13 00:00:00,V2
DC0001,NMBT30,42000.0,,2019-07-25 00:00:00,V1
DC0001,23CB028,238500.0,10.0,2022-12-13 00:00:00,V2
DC0001,NMBT30,46000.0,,2020-10-12 00:00:00,V1
DC0001,23CB029,250000.0,10.0,2022-12-13 00:00:00,V2
DC0001,NMBT40,75000.0,,2019-07-25 00:00:00,V1
DC0001,23CB030,250000.0,10.0,2022-12-13 00:00:00,V2
DC0001,NMBT60,82000.0,,2019-07-25 00:00:00,V1
DC0001,23CB031,257000.0,10.0,2022-12-13 00:00:00,V2
DC0001,NMBTO30,10000.0,,2019-07-25 00:00:00,V1
